KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Simeulue;Aceh Simeulue;ACEH;17.656;1.49;1.406;0.826;0.689;0.372;1.272;66.41;0;0;1;0;1;1;0;0;0.0963164315832281;0.133772821643372;4;4
Aceh Singkil;Aceh Singkil;ACEH;18.704;1.684;2.178;0.754;0.58;0.867;2.096;69.22;0;0;1;0;1;1;1;0;0.0742284974256925;0.129505038061847;3;4
Aceh Selatan;Aceh Selatan;ACEH;25.339;1.576;0.966;0.891;0.744;0.593;1.449;67.44;0;0;1;0;1;1;0;0;0.106635624795544;0.108334997302246;4;4
Aceh Tenggara;Aceh Tenggara;ACEH;19.116;1.236;3.453;0.883;0.514;0.449;1.861;69.44;0;0;1;0;1;1;0;1;0.0753526058704112;0.116574913787754;3;4
Aceh Timur;Aceh Timur;ACEH;17.996;2.122;2.056;0.646;0.543;0.582;1.915;67.83;0;0;1;0;1;1;1;1;0.0508317492741699;0.0548510038679415;2;2
Aceh Tengah;Aceh Tengah;ACEH;20.161;1.866;1.419;0.771;0.338;0.815;2.205;73.37;1;0;1;0;1;1;1;0;0.0881624427993675;0.0974918018257556;4;4
Aceh Barat;Aceh Barat;ACEH;29.64;1.52;1.074;1.039;0.628;0.95;1.644;71.67;1;0;1;0;1;1;0;0;0.140057454225748;0.0981424496764366;4;4
Aceh Besar;Aceh Besar;ACEH;15.26;1.503;1.38;0.626;0.46;0.46;1.349;73.58;1;0;1;0;1;0;0;0;0.117861051514463;0.069134945801774;4;3
Pidie;Pidie;ACEH;11.665;1.904;1.532;0.471;0.442;0.488;1.744;70.7;1;0;1;0;1;0;0;0;0.0632462318620461;0.0478313796519417;3;2
Bireuen;Bireuen;ACEH;14.735;1.628;1.242;0.594;0.457;0.748;1.863;72.33;1;0;1;0;1;0;0;0;0.0730255794272611;0.0557360341423021;3;2
Aceh Utara;Aceh Utara;ACEH;11.26;1.827;1.785;0.495;0.422;0.43;1.563;69.46;0;0;1;0;1;0;0;0;0.0611347149551223;0.0469610240577057;3;2
Aceh Barat Daya;Aceh Barat Daya;ACEH;21.24;1.518;0.609;0.702;0.598;0.481;1.343;66.99;0;0;1;0;1;1;0;0;0.111999789176867;0.133740924722965;4;4
Gayo Lues;Gayo Lues;ACEH;17.054;2.183;1.824;1.023;0.584;0.651;2.069;67.56;0;0;1;0;1;1;1;1;0.12463854821019;0.220360953235617;4;4
